id,postal,unmatched_postcode,web,age,date,day_of_week,postcode,sex,household_size,occupation,total_contacts
37,1,0,0,60,-,5,NP44 6JQ,1,2,retired,20
38,1,0,0,56,-,5,SA4 3SU,0,3,teaching,5
39,1,0,0,77,-,5,SA2 0RG,1,2,retired,9
40,1,0,0,26,-,5,CF14 1EL,0,2,office,5
41,1,0,0,95,-,5,EX4 2HQ,0,1,entertain,48
42,1,0,0,74,-,5,BS24 6UR,1,2,retired,9
43,1,0,0,82,-,5,BA12 6BQ,1,3,retired,11
44,1,0,0,17,-,5,PL7 1QQ,0,4,student,78
45,1,0,0,48,-,5,HR4 8AQ,1,1,unemployed,9
46,1,0,0,84,-,5,TR2 4BS,1,1,retired,5
47,1,0,0,60,-,5,RG40 3EY,-1,1,teaching,3
48,1,0,0,50,29/05/2009,0,WA6 8NH,0,3,teaching,103
49,1,0,0,48,29/05/2009,0,NG1 1JL,1,1,research,4
50,1,0,0,56,29/05/2009,0,SK10 5XE,0,2,retired,5
51,1,0,0,57,29/05/2009,0,M41 6JF,0,2,home,9
52,1,0,0,61,29/05/2009,0,NE29 0RE,0,2,retired,6
53,1,0,0,66,29/05/2009,0,LL71 8BE,0,2,office,49
54,1,0,0,65,29/05/2009,0,CH63 3EG,1,1,retired,7
55,1,0,0,62,29/05/2009,0,CH7 4TX,1,3,health,11
56,1,0,0,81,29/05/2009,0,SK4 2PY,1,2,retired,82
57,1,0,0,34,29/05/2009,0,DL10 5LA,0,4,health,17
58,1,0,0,50,29/05/2009,0,NG4 3GJ,0,4,health,16
59,1,0,0,24,29/05/2009,0,L19 8DA,0,3,student,111
60,1,0,0,20,29/05/2009,0,L15 8HH,0,3,student,10
61,1,0,0,68,29/05/2009,0,L12 7JL,1,1,retired,15
62,1,0,0,61,29/05/2009,0,L19 2JG,1,6,retired,17
63,1,0,0,42,29/05/2009,0,TS9 7HB,1,4,health,27
64,1,0,0,71,29/05/2009,0,SK6 1DY,1,2,retired,7
65,1,0,0,16,29/05/2009,0,WA8 8HA,0,2,schoolchild,13
66,1,0,0,62,29/05/2009,0,WA8 5BU,0,2,retired,5
67,1,0,0,61,29/05/2009,0,SK12 1NZ,1,6,unknown,17
68,1,0,0,34,29/05/2009,0,HU4 7SD,0,3,service,83
69,1,0,0,29,29/05/2009,0,M34 2AA,0,2,teaching,575
70,1,0,0,68,29/05/2009,0,NG8 4DW,1,2,retired,6
71,1,0,0,36,29/05/2009,0,SK15 1HH,0,3,teaching,239
72,1,0,0,52,29/05/2009,0,NE6 4TE,0,2,health,109
73,1,0,0,48,29/05/2009,0,NE39 2JW,0,4,home,112
74,1,0,0,43,29/05/2009,0,DL14 8AP,1,1,office,37
75,1,0,0,34,29/05/2009,0,NE26 1HW,1,2,public,5
76,1,0,0,69,29/05/2009,0,NE5 1JS,0,2,retired,4
77,1,0,0,31,29/05/2009,0,NE38 0HA,0,4,home,23
78,1,0,0,57,29/05/2009,0,NE15 6QD,0,2,service,18
79,1,0,0,62,29/05/2009,0,TS9 7HB,1,2,retired,13
80,1,0,0,42,29/05/2009,0,DL13 2XA,0,4,office,12
81,1,0,0,62,29/05/2009,0,NE26 3PT,1,2,retired,7
82,1,0,0,33,29/05/2009,0,M22 5FZ,1,2,unknown,22
83,1,0,0,76,29/05/2009,0,SK6 8BH,0,1,retired,24
84,1,0,0,61,29/05/2009,0,M9 4LG,1,2,retired,29
85,1,0,0,74,29/05/2009,0,-,1,2,retired,5
86,1,0,0,61,29/05/2009,0,M30 0JR,1,2,unemployed,6
87,1,0,0,45,29/05/2009,0,NE26 3PT,0,3,service,35
88,1,0,0,59,29/05/2009,0,TS25 1HR,1,2,office,12
89,1,0,0,44,29/05/2009,0,SK17 9DG,0,2,health,28
90,1,0,0,77,29/05/2009,0,ME3 7BA,0,2,home,20
91,1,0,0,69,29/05/2009,0,NE8 2HY,0,2,retired,7
92,1,0,0,61,29/05/2009,0,NE28 8RN,1,1,retired,19
93,1,0,0,26,29/05/2009,0,NE8 4QL,0,1,health,33
94,1,0,0,48,29/05/2009,0,TS19 9HJ,1,2,unknown,19
